   76327.617655 lost 7156 events on cpu 5

Runtime summary
                          comm  parent   sched-in     run-time    min-run     avg-run     max-run  stddev  migrations
                                          (count)       (msec)     (msec)      (msec)      (msec)       %
---------------------------------------------------------------------------------------------------------------------
             migration/74[461]       2         38        0.389      0.008       0.010       0.040   10.04       0
          kworker/72:2-mm[973]       2          3        0.042      0.007       0.014       0.020   26.27       0
          kworker/73:2-mm[974]       2          3        0.046      0.007       0.015       0.029   46.40       0
          kworker/74:2-mm[975]       2          3        0.041      0.008       0.013       0.018   21.22       0
            dockerd[4303/2411]    2411          2        0.664      0.291       0.332       0.372   12.15       0
         kworker/66:0-mm[5839]       2         58        0.931      0.006       0.016       0.039    6.71       0
          kworker/75:2-mm[976]       2          3        0.037      0.007       0.012       0.021   35.77       0
            dockerd[4304/2411]    2411          1        1.055      1.055       1.055       1.055    0.00       0
             migration/32[209]       2         39        0.301      0.003       0.007       0.041   12.40       0
         kworker/62:1-ev[6609]       2        128       11.196      0.004       0.087       0.170    5.95       0
             ksoftirqd/32[210]       2          1        0.012      0.012       0.012       0.012    0.00       0
          kworker/77:2-mm[978]       2         19        0.243      0.007       0.012       0.021    8.05       0
         kworker/36:1H-k[2258]       2          1        0.011      0.011       0.011       0.011    0.00       0
             migration/75[467]       2         38        0.371      0.008       0.009       0.041    8.83       0
         kworker/63:0-ev[5331]       2         72        1.356      0.006       0.018       0.047    6.55       0
         containerd[4308/2345]    2345          1        0.739      0.739       0.739       0.739    0.00       0
          kworker/81:2-mm[982]       2          7        0.067      0.008       0.009       0.015    9.45       0
             migration/33[215]       2         40        0.340      0.003       0.008       0.041   14.56       0
          kworker/83:2-mm[984]       2         12        0.155      0.006       0.012       0.022   12.75       0
             migration/76[473]       2         38        0.373      0.008       0.009       0.042    8.88       0
         kworker/68:0-mm[5337]       2          4        0.113      0.014       0.028       0.059   37.07       0
                screen[936921]   897952         10        0.409      0.039       0.040       0.044    1.29       0
       kworker/u226:1-[957657]       2         61        0.972      0.005       0.015       0.284   28.70       0
         systemd-network[2266]       1         17        3.138      0.051       0.184       0.499   19.36       0
       kworker/40:1H-k[957658]       2          2        0.082      0.010       0.041       0.071   73.45       0
         containerd[4571/2345]    2345          1        0.630      0.630       0.630       0.630    0.00       0
         systemd-resolve[2268]       1          1        0.165      0.165       0.165       0.165    0.00       0
                  sudo[957660]    7701          4        0.324      0.061       0.081       0.106   11.36       0
